iter	RMSE
0	73040.81409
1	68844.28234
2	65146.06988
3	61644.41222
4	58333.0585
5	55302.3263
6	52479.17132
7	49944.13031
8	47620.98808
9	45463.59845
10	43480.26938
11	41842.06262
12	40193.29584
13	38710.38385
14	37391.61136
15	36270.25848
16	35211.76417
17	34238.32903
18	33290.35586
19	32508.33258
20	31744.0258
21	31046.42798
22	30492.97038
23	29971.96592
24	29487.69173
25	29025.20415
26	28653.71613
27	28306.69965
28	27960.94144
29	27670.91843
30	27400.0623
31	27109.64028
32	26880.34489
33	26678.85726
34	26536.73701
35	26347.36592
36	26222.5724
37	26125.93053
38	25943.53771
39	25831.32159
40	25743.27572
41	25628.53761
42	25558.1447
43	25480.47831
44	25398.68605
45	25315.93727
46	25220.91784
47	25109.66499
48	25029.46434
49	24937.6125
50	24870.85079
51	24808.68135
52	24757.78506
53	24701.69976
54	24654.31615
55	24601.20791
56	24548.99076
57	24485.6687
58	24407.42685
59	24362.62079
60	24294.30854
61	24242.06999
62	24196.13011
63	24136.15957
64	24093.40397
65	24073.17181
66	24032.51104
67	23970.18142
68	23914.09922
69	23865.32721
70	23822.94126
71	23801.29611
72	23763.50604
73	23727.11471
74	23695.34002
75	23657.74056
76	23612.09533
77	23556.7367
78	23526.15428
79	23483.69153
80	23452.94436
81	23422.71245
82	23396.06658
83	23360.03843
84	23329.1879
85	23302.99093
86	23279.19048
87	23253.28554
88	23228.63338
89	23198.82105
90	23172.35511
91	23147.91135
92	23103.77
93	23080.4665
94	23002.06111
95	22980.45554
96	22944.5772
97	22908.3608
98	22861.30436
99	22839.28165
100	22816.62438
101	22796.99744
102	22771.54855
103	22751.613
104	22733.72337
105	22683.15937
106	22665.59987
107	22647.77026
108	22631.43743
109	22590.63483
110	22558.06514
111	22542.54492
112	22512.08065
113	22495.7663
114	22478.88619
115	22464.94181
116	22450.76828
117	22398.49255
118	22384.19308
119	22369.00884
120	22356.90825
121	22326.83848
122	22311.62329
123	22297.06668
124	22249.92246
125	22204.95334
126	22162.03121
127	22113.39879
128	22072.87084
129	22034.02113
130	22018.90274
131	21975.36035
132	21924.37922
133	21884.38346
134	21867.06751
135	21855.15273
136	21821.69706
137	21791.9069
138	21780.53488
139	21770.69217
140	21715.04814
141	21684.90332
142	21651.88718
143	21625.24228
144	21598.43428
145	21565.49285
146	21541.79002
147	21480.36713
148	21453.42049
149	21430.01925
150	21408.46678
151	21385.01214
152	21340.74307
153	21298.96742
154	21276.79534
155	21219.88543
156	21204.11363
157	21185.92129
158	21151.32722
159	21118.79918
160	21100.39947
161	21047.87784
162	21016.84007
163	20999.89111
164	20983.71049
165	20948.67129
166	20933.29568
167	20895.94353
168	20869.36146
169	20853.13619
170	20838.90234
171	20825.29701
172	20796.08831
173	20747.90069
174	20734.8495
175	20701.01145
176	20686.61694
177	20672.91679
178	20648.80786
179	20635.67185
180	20620.72142
181	20609.0917
182	20580.49009
183	20567.1204
184	20553.59875
185	20528.3577
186	20502.22403
187	20497.0326
188	20484.51303
189	20473.36835
190	20459.34501
191	20439.71787
192	20419.64864
193	20408.41635
194	20397.8399
195	20378.26689
196	20373.26609
197	20363.02807
198	20353.30816
199	20330.53036
200	20321.29298
201	20293.21692
202	20283.64108
203	20275.20575
204	20270.40308
205	20262.38608
206	20254.76679
207	20247.52307
208	20240.63418
209	20199.0207
210	20181.32118
211	20162.39422
212	20156.83282
213	20149.57748
214	20134.49843
215	20103.95903
216	20096.25771
217	20054.80917
218	20042.7619
219	20016.57868
220	20007.05663
221	19972.34512
222	19960.26884
223	19956.00292
224	19911.0316
225	19904.46086
226	19880.12796
227	19852.63839
228	19846.88519
229	19830.08972
230	19824.95541
231	19794.16962
232	19762.16006
233	19758.34126
234	19738.91488
235	19730.82943
236	19724.7409
237	19709.47505
238	19703.65926
239	19698.0847
240	19662.26057
241	19625.75081
242	19620.02015
243	19614.84349
244	19597.03548
245	19582.03049
246	19576.5919
247	19571.42358
248	19561.24449
249	19538.18545
250	19523.53295
251	19499.90735
252	19479.64826
253	19475.84204
254	19470.78009
255	19452.49904
256	19433.03256
257	19413.70083
258	19410.18258
259	19374.07337
260	19356.08883
261	19339.88664
262	19322.67331
263	19319.29201
264	19304.42381
265	19273.15795
266	19255.6469
267	19249.39418
268	19234.37363
269	19218.02472
270	19201.95223
271	19194.57951
272	19166.4448
273	19161.26074
274	19154.37695
275	19140.41859
276	19102.08306
277	19087.189
278	19074.29898
279	19046.96108
280	19019.95785
281	18997.06785
282	18992.34126
283	18983.51416
284	18969.57652
285	18966.56842
286	18950.61053
287	18938.96274
288	18923.88502
289	18918.0229
290	18915.49631
291	18903.36727
292	18900.42637
293	18889.4723
294	18883.52195
295	18854.79938
296	18830.14378
297	18825.32986
298	18823.15919
299	18817.82407
300	18815.08693
301	18802.99831
302	18799.55481
303	18788.07462
304	18785.94258
305	18775.57431
306	18764.15819
307	18747.8096
308	18745.28006
309	18743.46551
310	18733.57208
311	18726.96587
312	18711.26074
313	18700.03513
314	18698.28669
315	18683.37278
316	18661.35386
317	18651.39583
318	18641.64354
319	18638.11645
320	18625.93872
321	18622.74683
322	18620.5944
323	18593.14456
